ccc_name,ccc_id,ccc_source_institution_id,uc_name,uc_id,uc_source_institution_id,academic_year,academic_year_id,report_count,all_report_count,status,http_status,response_bytes,file_path,error
Allan Hancock College,110,110,"University of California, Berkeley",79,79,2025-2026,76,95,1,success,200,12222,json/allan_hancock_college__to__university_of_california_berkeley.json,
Allan Hancock College,110,110,"University of California, Davis",89,89,2025-2026,76,119,1,success,200,15193,json/allan_hancock_college__to__university_of_california_davis.json,
Allan Hancock College,110,110,"University of California, Irvine",120,120,2025-2026,76,90,1,success,200,11744,json/allan_hancock_college__to__university_of_california_irvine.json,
Allan Hancock College,110,110,"University of California, Los Angeles",117,117,2025-2026,76,134,1,success,200,17335,json/allan_hancock_college__to__university_of_california_los_angeles.json,
Allan Hancock College,110,110,"University of California, Merced",144,144,2025-2026,76,123,1,success,200,19776,json/allan_hancock_college__to__university_of_california_merced.json,
Allan Hancock College,110,110,"University of California, Riverside",46,46,2025-2026,76,85,1,success,200,11176,json/allan_hancock_college__to__university_of_california_riverside.json,
Allan Hancock College,110,110,"University of California, San Diego",7,7,2025-2026,76,168,1,success,200,23420,json/allan_hancock_college__to__university_of_california_san_diego.json,
Allan Hancock College,110,110,"University of California, Santa Barbara",128,128,2025-2026,76,102,1,success,200,13806,json/allan_hancock_college__to__university_of_california_santa_barbara.json,
Allan Hancock College,110,110,"University of California, Santa Cruz",132,132,2025-2026,76,130,1,success,200,17340,json/allan_hancock_college__to__university_of_california_santa_cruz.json,
American River College,27,27,"University of California, Berkeley",79,79,2025-2026,76,95,1,success,200,12126,json/american_river_college__to__university_of_california_berkeley.json,
American River College,27,27,"University of California, Davis",89,89,2025-2026,76,119,1,success,200,15073,json/american_river_college__to__university_of_california_davis.json,
American River College,27,27,"University of California, Irvine",120,120,2025-2026,76,90,1,success,200,11653,json/american_river_college__to__university_of_california_irvine.json,
American River College,27,27,"University of California, Los Angeles",117,117,2025-2026,76,134,1,success,200,17200,json/american_river_college__to__university_of_california_los_angeles.json,
American River College,27,27,"University of California, Merced",144,144,2025-2026,76,123,1,success,200,19652,json/american_river_college__to__university_of_california_merced.json,
American River College,27,27,"University of California, Riverside",46,46,2025-2026,76,85,1,success,200,11090,json/american_river_college__to__university_of_california_riverside.json,
American River College,27,27,"University of California, San Diego",7,7,2025-2026,76,168,1,success,200,23251,json/american_river_college__to__university_of_california_san_diego.json,
American River College,27,27,"University of California, Santa Barbara",128,128,2025-2026,76,102,1,success,200,13703,json/american_river_college__to__university_of_california_santa_barbara.json,
